,City,Country,Lat,Lng,Hotel Name
384,aqtobe,KZ,50.28,57.21,Royal Hotel
385,gumdag,TM,39.21,54.59,
386,lakeway,US,30.36,-97.98,Lakeway Resort and Spa
387,saldanha,ZA,-33.01,17.94,Protea Hotel by Marriott Saldanha Bay
388,luena,AO,-11.78,19.92,íU Hotel
389,aksarka,RU,66.56,67.8,
390,payson,US,40.04,-111.73,Quality Inn Payson I-15
391,puerto escondido,ES,36.59,-6.23,Duques de Medinaceli
392,trairi,BR,-3.28,-39.27,Rede Beach: Hotel em Guajiru
393,tayu,ID,-6.54,111.05,Hotel Tayu Asri
394,valdosta,US,30.83,-83.28,Hampton Inn & Suites Valdosta/Conference Center
395,aberdeen,GB,57.14,-2.1,Atholl Hotel
396,kutulik,RU,53.35,102.78,
397,pedasi,PA,7.53,-80.03,Selina Pedasi
398,sungaipenuh,ID,-2.08,101.38,Hotel Kerinci
399,denpasar,ID,-8.65,115.22,Grand Kesambi Resort and Villas
400,suba,PH,10.84,121.01,Jarnchi Pension House
401,chara,RU,56.91,118.26,
402,severo-kurilsk,RU,50.68,156.12,Kak Doma
403,kyzyl-suu,KG,42.34,78.0,Gostinitsa Nur-Ordo
404,plettenberg bay,DE,51.22,7.88,Hotel Weidenhof
405,moerai,PF,-22.43,-151.33,Le Manotel
406,asau,RO,46.43,26.4,Pensiunea Sophia
407,mecca,SA,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
408,cavan,IE,53.99,-7.36,Hotel Kilmore
409,paraiso,CR,9.84,-83.87,Hotel Rio Perlas Spa and Resort
410,pitimbu,BR,-7.47,-34.81,Pousada Beira Mar Pitimbu Paraíba
411,nouakchott,MR,18.09,-15.98,AZALAÏ HOTEL NOUAKCHOTT (MARHABA )
412,bilibino,RU,68.05,166.44,Profilaktoriy Baes
413,svetlogorsk,BY,52.63,29.73,Hotel Svetlogorsk JBIK
414,yaguajay,CU,22.33,-79.24,Hostal La Terraza
415,arman,RU,59.7,150.17,
416,oneonta,US,42.45,-75.06,Hampton Inn Oneonta
417,san rafael del sur,ML,13.3,-4.9,Hôtel Teriya
418,rocha,UY,-34.48,-54.33,Beleza Pura B&B
419,bosaso,SO,11.28,49.18,Gacayte Hotel
420,talcahuano,CL,-36.72,-73.12,Hotel Terrasur
421,dingle,PH,11.0,122.67,
422,odienne,CI,9.51,-7.57,Résidence Palace Hôtel
423,biloxi,US,30.4,-88.89,Hard Rock Hotel and Casino Biloxi
424,madona,LV,56.85,26.22,"Madonas viesnica , SIA"
425,volodarka,UA,49.52,29.91,Mayetok
426,stornoway,GB,58.21,-6.39,Royal Hotel
427,pandan,PH,14.05,124.17,Bonifacio Lodge
428,kalmunai,LK,7.42,81.82,LUXEZ garden house
429,boyolangu,ID,-8.12,111.89,Crown Victoria Hotel
430,hervey bay,US,33.5,-93.78,
431,labuhan,ID,-6.88,112.21,
432,honiara,SB,-9.43,159.95,Coral Sea Resort & Casino
433,morondava,MG,-20.28,44.28,Palissandre Cote Ouest resort & SPA
434,tura,IN,25.52,90.22,Hotel RIKMAN Continental
435,beringovskiy,RU,63.05,179.32,
436,tatvan,TR,38.51,42.28,Tatvan Kardelen Hotel
437,quelimane,MZ,-17.88,36.89,Hotel Elite
438,zunyi,CN,27.69,106.91,7 Days Inn
439,pinehurst,US,35.2,-79.47,Homewood Suites by Hilton Olmsted Village (near Pinehurst)
440,buala,SB,-8.14,159.59,Maringe Lagoon Lodge
441,otjimbingwe,,-22.35,16.13,
442,kaitangata,NZ,-46.28,169.85,
443,motala,SE,58.54,15.04,Best Western Motala Stadshotell
444,butterworth,MY,5.4,100.36,"Eastern & Oriental Hotel, Penang"
445,brae,GB,60.4,-1.35,Busta House Hotel
446,slonim,BY,53.09,25.32,"Gostinitsa ""Shchara"""
447,caravelas,BR,-17.71,-39.25,Pousada Encanto Abrolhos
448,belle fourche,US,38.29,-91.72,Belle Motel
449,gorom-gorom,BF,14.44,-0.24,
450,kasongo-lunda,CD,-6.47,16.82,
451,luba,GQ,3.46,8.55,
452,vakhrushevo,RU,55.23,61.72,
453,khasan,RU,42.43,130.64,
454,roswell,US,34.02,-84.36,Hampton Inn Alpharetta/Roswell
455,calabozo,VE,8.92,-67.43,Best Western Hotel Plaza Real
456,manggar,ID,-2.88,108.27,OYO 515 Oasis Hotel
457,chadiza,ZM,-14.07,32.44,Mweebe Executive Lodge
458,ancud,CL,-41.87,-73.82,Hotel Y Cabañas Terrazas Vista Al Mar
459,badiraguato,MX,25.37,-107.52,"Hotel ""Real Del Campo"""
460,freeport,US,40.66,-73.58,Ramada by Wyndham Rockville Centre
461,mountain home,CO,13.37,-81.37,Deep Blue
462,hobyo,SO,5.35,48.53,
463,vijes,CO,3.7,-76.44,
464,panzhihua,CN,26.59,101.71,Panzhihua Hotel
465,iberia,US,29.95,-91.75,
466,axim,GH,4.87,-2.24,Ankobra Beach Resort
467,mbandaka,CD,0.05,18.26,Hotel Bijoux Botoko
468,machico,PT,32.7,-16.77,White Waters Hotel
469,kozhva,RU,65.11,57.05,Hotel Alfa
470,dutse,NG,11.76,9.34,Damusa Guest Inn
471,moron,AR,-34.65,-58.62,Hotel Cabildo
472,hualmay,PE,-11.1,-77.61,Hotel Hillary
